INFO 2026-02-14 22:42:41,318 autoreload Watching for file changes with StatReloader
INFO 2026-02-14 22:42:53,886 autoreload D:\FYP\Path2Prep\backend\accounts\models.py changed, reloading.
INFO 2026-02-14 22:42:59,655 autoreload Watching for file changes with StatReloader
INFO 2026-02-14 22:44:45,237 autoreload Watching for file changes with StatReloader
INFO 2026-02-14 23:07:38,037 autoreload D:\FYP\Path2Prep\backend\recommendations\ml_engine.py changed, reloading.
INFO 2026-02-14 23:07:38,266 autoreload D:\FYP\Path2Prep\backend\accounts\models.py changed, reloading.
INFO 2026-02-14 23:08:08,241 autoreload Watching for file changes with StatReloader
INFO 2026-02-15 00:01:00,844 autoreload Watching for file changes with StatReloader
WARNING 2026-02-15 00:02:45,292 log Not Found: /
WARNING 2026-02-15 00:02:45,296 log "GET / HTTP/1.1" 404 3393
WARNING 2026-02-15 00:02:45,320 log Not Found: /
WARNING 2026-02-15 00:02:45,321 log "GET / HTTP/1.1" 404 3393
WARNING 2026-02-15 00:02:46,188 log Not Found: /favicon.ico
WARNING 2026-02-15 00:02:46,190 log "GET /favicon.ico HTTP/1.1" 404 3444
INFO 2026-02-15 00:02:53,904 log "GET /admin HTTP/1.1" 301 0
INFO 2026-02-15 00:02:54,025 log "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-15 00:02:54,402 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
INFO 2026-02-15 00:02:54,676 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-02-15 00:02:54,685 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-02-15 00:02:54,710 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-15 00:02:54,714 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-15 00:02:54,716 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-02-15 00:02:54,746 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-02-15 00:02:54,782 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-15 00:03:05,724 log "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
